1,杂粮饭,0.6,农园一层,主食
2,米饭,0.3,农园一层,主食
3,肉包子,0.6,农园一层,主食
4,红豆窝头,1.5,农园一层,主食
5,素包子,0.6,农园一层,主食
6,豆包,0.6,农园一层,主食
7,发糕,1,农园一层,主食
8,红豆卷,1,农园一层,主食
9,荞麦馒头,1,农园一层,主食
10,花卷,0.6,农园一层,主食
11,馒头,0.2,农园一层,主食
12,炒圆白菜,1,农园一层,素
13,熬冬瓜,1,农园一层,素
14,红烧狮子头,1,农园一层,荤
15,炒土豆丝,1,农园一层,素
16,炒绿豆芽,1,农园一层,素
17,炒黄豆芽,1,农园一层,素
18,炒小咸菜,1,农园一层,素
19,虎皮尖椒,3,农园一层,素 中辣
20,麻婆豆腐,3,农园一层,素 微辣
21,菠菜炒鸡蛋,5,农园一层,荤 素
22,蚝油生菜,4,农园一层,素
23,韭菜豆芽炒香干,5,农园一层,素
24,肉片炒茄子,5,农园一层,荤 素
25,炒胡萝卜丝,1,农园一层,素
26,豉汁黑鱼片,10,农园一层,荤
27,剁椒蒸鲷鱼,10,农园一层,荤
28,豉油蒸茄条,3,农园一层,素
29,木耳油菜,4,农园一层,素
30,蒸酿豆腐,4,农园一层,素
31,香椿炒鸡蛋,6,农园一层,荤 素
32,豉油芥蓝,5,农园一层,素
33,鸡蛋西红柿,4,农园一层,荤 素
34,芹菜炒香干,4,农园一层,素
35,韭菜炒鸭血,6,农园一层,荤 素
36,木耳鸡毛菜,5,农园一层,素
37,鸡蛋炒蒜黄,6,农园一层,荤 素
38,麻辣烫,5,农园一层,荤 素 微辣
39,汆猪肉丸子,6,农园一层,荤
40,宫保鸡丁,5,农园一层,荤 微辣
41,炒刀削面,5,农园一层,素
42,肉末酸菜粉,5,农园一层,荤 素
43,鸡蛋白菜炖豆腐,4,农园一层,荤 素
44,鸡片西葫芦,5,农园一层,荤 素
45,卤鸭架,5,农园一层,荤
46,鸡蛋炒菠菜,5,农园一层,荤 素
47,鸡丝黑豆苗,6,农园一层,荤 素
48,肉丝烧菌菇,6,农园一层,荤 素
49,鸡蛋炒苦瓜,5,农园一层,荤 素
50,豉汁秋葵,6,农园一层,素
51,豇豆烧茄子,6,农园一层,素
52,豉汁芦笋,6,农园一层,素
53,卤鸭腿,7,农园一层,荤
54,烤奥尔良鸡腿肉,8,农园一层,荤
55,重庆辣子鸡,8,农园一层,荤
56,干煸豇豆,6,农园一层,素 中辣
57,炒荷兰豆,6,农园一层,素
58,红烧鲽鱼,6,农园一层,荤
59,鸡蛋炒饭,4,农园一层,主食 荤
60,芝士焗红薯,5,农园一层,甜点
61,小碗粥,0.5,农园一层,主食
62,清蒸白鱼,8,农园一层,荤
63,蛋花汤,0.5,农园一层,汤
64,梅菜太阳肉,6,农园一层,荤
65,干锅土豆片,5,农园一层,素
66,酱鲜排,12,农园一层,荤
67,奥尔良烤鸡腿,5,农园一层,荤
68,粉蒸肉,8,农园一层,荤
69,豉汁蒸凤爪,10,农园一层,荤
70,红烧排骨,12,农园一层,荤
